target,guide,donor,context,n_cells,guide_median_supplied_activation_score,ntc_baseline_median_of_guide_medians,supplied_activation_score_delta,support_flag_lt_20_cells,generator_available,generator_admitted
ATXN7L3,ATXN7L3_1_CRISPRi,A,Resting-Teff,171,-288.47154416072698,-285.17266687930498,-3.2988772814219942,false,true,true
ATXN7L3,ATXN7L3_2_CRISPRi,A,Resting-Teff,255,-266.81301449466503,-285.17266687930498,18.359652384639958,false,true,true
BACH2,BACH2_1_CRISPRi,A,Resting-Teff,272,-280.96287657317748,-285.17266687930498,4.2097903061275019,false,true,false
BACH2,BACH2_2_CRISPRi,A,Resting-Teff,50,-187.2140703337455,-285.17266687930498,97.958596545559487,false,true,false
BATF,BATF_1_CRISPRi,A,Resting-Teff,183,-255.34168147514799,-285.17266687930498,29.830985404156991,false,true,true
BATF,BATF_2_CRISPRi,A,Resting-Teff,152,-271.7818347865325,-285.17266687930498,13.390832092772484,false,true,true
BPTF,BPTF_1_CRISPRi,A,Resting-Teff,216,-294.955656752246,-285.17266687930498,-9.7829898729410161,false,true,true
BPTF,BPTF_2_CRISPRi,A,Resting-Teff,221,-297.40171322653401,-285.17266687930498,-12.22904634722903,false,true,true
CBFB,CBFB_1_CRISPRi,A,Resting-Teff,258,-273.77628896747001,-285.17266687930498,11.396377911834975,false,true,true
CBFB,CBFB_2_CRISPRi,A,Resting-Teff,218,-264.73977203818197,-285.17266687930498,20.432894841123016,false,true,true
DNMT1,DNMT1_1_CRISPRi,A,Resting-Teff,214,-257.4913204219875,-285.17266687930498,27.681346457317488,false,false,false
DNMT1,DNMT1_2_CRISPRi,A,Resting-Teff,223,-230.126179685425,-285.17266687930498,55.046487193879983,false,false,false
ETS1,ETS1_1_CRISPRi,A,Resting-Teff,78,-212.24389930044299,-285.17266687930498,72.928767578861994,false,true,false
ETS1,ETS1_2_CRISPRi,A,Resting-Teff,61,-212.25585378396099,-285.17266687930498,72.916813095343997,false,true,false
FOXO1,FOXO1_1_CRISPRi,A,Resting-Teff,78,-169.64074666274399,-285.17266687930498,115.53192021656099,false,true,true
FOXO1,FOXO1_2_CRISPRi,A,Resting-Teff,137,-275.59160663506998,-285.17266687930498,9.5810602442350046,false,true,true
IL2RA,IL2RA_1_CRISPRi,A,Resting-Teff,108,-297.15674569654698,-285.17266687930498,-11.984078817241993,false,true,true
IL2RA,IL2RA_2_CRISPRi,A,Resting-Teff,132,-297.52381765394301,-285.17266687930498,-12.351150774638029,false,true,true
IRF1,IRF1_1_CRISPRi,A,Resting-Teff,230,-284.34611860018049,-285.17266687930498,0.82654827912449491,false,true,true
IRF1,IRF1_2_CRISPRi,A,Resting-Teff,92,-244.20187535684198,-285.17266687930498,40.970791522463003,false,true,true
IRF2,IRF2_1_CRISPRi,A,Resting-Teff,182,-308.50419637187895,-285.17266687930498,-23.331529492573964,false,true,true
IRF2,IRF2_2_CRISPRi,A,Resting-Teff,142,-318.8164907616835,-285.17266687930498,-33.643823882378513,false,true,true
IRF4,IRF4_1_CRISPRi,A,Resting-Teff,136,-267.32864034656399,-285.17266687930498,17.844026532740997,false,true,false
IRF4,IRF4_2_CRISPRi,A,Resting-Teff,56,-231.84178282883451,-285.17266687930498,53.330884050470473,false,true,false
KLF13,KLF13_1_CRISPRi,A,Resting-Teff,222,-260.81441324628702,-285.17266687930498,24.358253633017966,false,true,false
KLF13,KLF13_2_CRISPRi,A,Resting-Teff,220,-286.70885515908753,-285.17266687930498,-1.5361882797825501,false,true,false
KLF2,KLF2_1_CRISPRi,A,Resting-Teff,152,-213.71349956084401,-285.17266687930498,71.45916731846097,false,true,true
KLF2,KLF2_2_CRISPRi,A,Resting-Teff,88,-260.182728175058,-285.17266687930498,24.989938704246981,false,true,true
LEF1,LEF1_1_CRISPRi,A,Resting-Teff,218,-266.17836509765749,-285.17266687930498,18.994301781647493,false,true,false
LEF1,LEF1_2_CRISPRi,A,Resting-Teff,174,-290.03032356725453,-285.17266687930498,-4.8576566879495431,false,true,false
MED11,MED11_1_CRISPRi,A,Resting-Teff,72,-167.14147290614599,-285.17266687930498,118.03119397315899,false,false,false
MED11,MED11_2_CRISPRi,A,Resting-Teff,171,-258.85375248493102,-285.17266687930498,26.318914394373962,false,false,false
MED12,MED12_1_CRISPRi,A,Resting-Teff,219,-208.18259651430699,-285.17266687930498,76.99007036499799,false,true,true
MED12,MED12_2_CRISPRi,A,Resting-Teff,201,-216.16696133418699,-285.17266687930498,69.005705545117991,false,true,true
MED24,MED24_1_CRISPRi,A,Resting-Teff,230,-232.92860233734351,-285.17266687930498,52.244064541961478,false,true,true
MED24,MED24_2_CRISPRi,A,Resting-Teff,284,-254.95724373014798,-285.17266687930498,30.215423149157004,false,true,true
MEF2D,MEF2D_1_CRISPRi,A,Resting-Teff,260,-280.67361226979,-285.17266687930498,4.4990546095149853,false,true,true
MEF2D,MEF2D_2_CRISPRi,A,Resting-Teff,171,-226.69747171583899,-285.17266687930498,58.475195163465997,false,true,true
MYB,MYB_1_CRISPRi,A,Resting-Teff,158,-186.24605415770199,-285.17266687930498,98.926612721602993,false,true,true
MYB,MYB_2_CRISPRi,A,Resting-Teff,201,-219.86425663680001,-285.17266687930498,65.308410242504976,false,true,true
MYC,MYC_1_CRISPRi,A,Resting-Teff,120,-275.91512298600946,-285.17266687930498,9.2575438932955194,false,true,true
MYC,MYC_2_CRISPRi,A,Resting-Teff,150,-259.32136197427599,-285.17266687930498,25.851304905028996,false,true,true
NFKB2,NFKB2_1_CRISPRi,A,Resting-Teff,287,-215.87580844389299,-285.17266687930498,69.296858435411991,false,true,true
NFKB2,NFKB2_2_CRISPRi,A,Resting-Teff,198,-256.32419759445554,-285.17266687930498,28.848469284849443,false,true,true
PRDM1,PRDM1_1_CRISPRi,A,Resting-Teff,206,-296.96226709727102,-285.17266687930498,-11.78960021796604,false,false,false
PRDM1,PRDM1_2_CRISPRi,A,Resting-Teff,248,-303.79722020655049,-285.17266687930498,-18.624553327245508,false,false,false
SOCS3,SOCS3_1_CRISPRi,A,Resting-Teff,60,-203.8427258714095,-285.17266687930498,81.329941007895485,false,true,true
SOCS3,SOCS3_2_CRISPRi,A,Resting-Teff,30,-74.598931004642992,-285.17266687930498,210.57373587466199,false,true,true
STAT5B,STAT5B_1_CRISPRi,A,Resting-Teff,77,-236.664127443203,-285.17266687930498,48.508539436101984,false,true,true
STAT5B,STAT5B_2_CRISPRi,A,Resting-Teff,152,-258.52908755494849,-285.17266687930498,26.643579324356494,false,true,true
TAF5L,TAF5L_1_CRISPRi,A,Resting-Teff,121,-256.18183726101398,-285.17266687930498,28.990829618291002,false,true,true
TAF5L,TAF5L_2_CRISPRi,A,Resting-Teff,208,-293.53444685787952,-285.17266687930498,-8.3617799785745319,false,true,true
USP22,USP22_1_CRISPRi,A,Resting-Teff,192,-261.97713944235551,-285.17266687930498,23.195527436949476,false,true,true
USP22,USP22_2_CRISPRi,A,Resting-Teff,159,-252.75263422030699,-285.17266687930498,32.420032658997997,false,true,true
ZNF217,ZNF217_1_CRISPRi,A,Resting-Teff,169,-228.24155375999601,-285.17266687930498,56.931113119308975,false,false,false
ZNF217,ZNF217_2_CRISPRi,A,Resting-Teff,110,-258.94810391776753,-285.17266687930498,26.224562961537458,false,false,false
ATXN7L3,ATXN7L3_1_CRISPRi,B,Resting-Teff,247,-297.87754331389698,-332.74571476402099,34.868171450124009,false,true,true
ATXN7L3,ATXN7L3_2_CRISPRi,B,Resting-Teff,383,-285.47204533415101,-332.74571476402099,47.273669429869983,false,true,true
BACH2,BACH2_1_CRISPRi,B,Resting-Teff,354,-325.77133840957504,-332.74571476402099,6.9743763544459512,false,true,false
BACH2,BACH2_2_CRISPRi,B,Resting-Teff,101,-263.26345340389901,-332.74571476402099,69.482261360121981,false,true,false
BATF,BATF_1_CRISPRi,B,Resting-Teff,312,-323.28373599790552,-332.74571476402099,9.4619787661154646,false,true,true
BATF,BATF_2_CRISPRi,B,Resting-Teff,269,-310.292188904711,-332.74571476402099,22.453525859309991,false,true,true
BPTF,BPTF_1_CRISPRi,B,Resting-Teff,337,-317.631920335058,-332.74571476402099,15.11379442896299,false,true,true
BPTF,BPTF_2_CRISPRi,B,Resting-Teff,320,-330.7212296462605,-332.74571476402099,2.0244851177604914,false,true,true
CBFB,CBFB_1_CRISPRi,B,Resting-Teff,271,-317.88554618251902,-332.74571476402099,14.860168581501966,false,true,true
CBFB,CBFB_2_CRISPRi,B,Resting-Teff,298,-281.98724426498097,-332.74571476402099,50.758470499040016,false,true,true
DNMT1,DNMT1_1_CRISPRi,B,Resting-Teff,273,-301.61185487770399,-332.74571476402099,31.133859886316998,false,false,false
DNMT1,DNMT1_2_CRISPRi,B,Resting-Teff,240,-251.97386802485499,-332.74571476402099,80.771846739165994,false,false,false
ETS1,ETS1_1_CRISPRi,B,Resting-Teff,100,-271.96691733510647,-332.74571476402099,60.778797428914515,false,true,false
ETS1,ETS1_2_CRISPRi,B,Resting-Teff,112,-333.13412166989553,-332.74571476402099,-0.38840690587454674,false,true,false
FOXO1,FOXO1_1_CRISPRi,B,Resting-Teff,118,-148.2537468151165,-332.74571476402099,184.49196794890449,false,true,true
FOXO1,FOXO1_2_CRISPRi,B,Resting-Teff,214,-340.21707011518151,-332.74571476402099,-7.4713553511605255,false,true,true
IL2RA,IL2RA_1_CRISPRi,B,Resting-Teff,152,-297.41965457636047,-332.74571476402099,35.326060187660516,false,true,true
IL2RA,IL2RA_2_CRISPRi,B,Resting-Teff,169,-315.27873710109202,-332.74571476402099,17.466977662928969,false,true,true
IRF1,IRF1_1_CRISPRi,B,Resting-Teff,323,-314.19372871924202,-332.74571476402099,18.551986044778971,false,true,true
IRF1,IRF1_2_CRISPRi,B,Resting-Teff,141,-284.54919505106898,-332.74571476402099,48.196519712952011,false,true,true
IRF2,IRF2_1_CRISPRi,B,Resting-Teff,201,-319.79219551398899,-332.74571476402099,12.953519250032002,false,true,true
IRF2,IRF2_2_CRISPRi,B,Resting-Teff,229,-331.835553633345,-332.74571476402099,0.91016113067598781,false,true,true
IRF4,IRF4_1_CRISPRi,B,Resting-Teff,205,-286.37499977630301,-332.74571476402099,46.370714987717975,false,true,false
IRF4,IRF4_2_CRISPRi,B,Resting-Teff,76,-292.55194782462104,-332.74571476402099,40.19376693939995,false,true,false
KLF13,KLF13_1_CRISPRi,B,Resting-Teff,250,-317.28706384117197,-332.74571476402099,15.458650922849017,false,true,false
KLF13,KLF13_2_CRISPRi,B,Resting-Teff,335,-307.24811895787298,-332.74571476402099,25.497595806148013,false,true,false
KLF2,KLF2_1_CRISPRi,B,Resting-Teff,218,-239.68450476944849,-332.74571476402099,93.061209994572494,false,true,true
KLF2,KLF2_2_CRISPRi,B,Resting-Teff,107,-291.68445127515503,-332.74571476402099,41.061263488865961,false,true,true
LEF1,LEF1_1_CRISPRi,B,Resting-Teff,316,-300.05192481857949,-332.74571476402099,32.693789945441495,false,true,false
LEF1,LEF1_2_CRISPRi,B,Resting-Teff,324,-303.06025924020202,-332.74571476402099,29.685455523818973,false,true,false
MED11,MED11_1_CRISPRi,B,Resting-Teff,65,-200.82591014942901,-332.74571476402099,131.91980461459198,false,false,false
MED11,MED11_2_CRISPRi,B,Resting-Teff,185,-289.73734758025,-332.74571476402099,43.008367183770986,false,false,false
MED12,MED12_1_CRISPRi,B,Resting-Teff,339,-198.02527153110199,-332.74571476402099,134.720443232919,false,true,true
MED12,MED12_2_CRISPRi,B,Resting-Teff,318,-220.1653269637645,-332.74571476402099,112.58038780025649,false,true,true
MED24,MED24_1_CRISPRi,B,Resting-Teff,377,-298.64640422604901,-332.74571476402099,34.099310537971974,false,true,true
MED24,MED24_2_CRISPRi,B,Resting-Teff,374,-297.23701487407101,-332.74571476402099,35.50869988994998,false,true,true
MEF2D,MEF2D_1_CRISPRi,B,Resting-Teff,312,-315.8147873856355,-332.74571476402099,16.930927378385491,false,true,true
MEF2D,MEF2D_2_CRISPRi,B,Resting-Teff,262,-305.46393463884851,-332.74571476402099,27.281780125172475,false,true,true
MYB,MYB_1_CRISPRi,B,Resting-Teff,178,-228.60160796391651,-332.74571476402099,104.14410680010448,false,true,true
MYB,MYB_2_CRISPRi,B,Resting-Teff,323,-231.31285737313499,-332.74571476402099,101.432857390886,false,true,true
MYC,MYC_1_CRISPRi,B,Resting-Teff,180,-251.56127504849002,-332.74571476402099,81.184439715530971,false,true,true
MYC,MYC_2_CRISPRi,B,Resting-Teff,193,-288.74493693838599,-332.74571476402099,44.000777825634998,false,true,true
NFKB2,NFKB2_1_CRISPRi,B,Resting-Teff,374,-222.28350772719301,-332.74571476402099,110.46220703682798,false,true,true
NFKB2,NFKB2_2_CRISPRi,B,Resting-Teff,346,-254.78918744667749,-332.74571476402099,77.9565273173435,false,true,true
PRDM1,PRDM1_1_CRISPRi,B,Resting-Teff,324,-342.94247183819249,-332.74571476402099,-10.196757074171501,false,false,false
PRDM1,PRDM1_2_CRISPRi,B,Resting-Teff,336,-312.57959609117802,-332.74571476402099,20.16611867284297,false,false,false
SOCS3,SOCS3_1_CRISPRi,B,Resting-Teff,54,-304.94836127831297,-332.74571476402099,27.797353485708015,false,true,true
SOCS3,SOCS3_2_CRISPRi,B,Resting-Teff,42,-245.39720895658749,-332.74571476402099,87.348505807433497,false,true,true
STAT5B,STAT5B_1_CRISPRi,B,Resting-Teff,159,-251.43734154068201,-332.74571476402099,81.308373223338975,false,true,true
STAT5B,STAT5B_2_CRISPRi,B,Resting-Teff,222,-314.40765876215153,-332.74571476402099,18.338056001869461,false,true,true
TAF5L,TAF5L_1_CRISPRi,B,Resting-Teff,162,-311.72365852311651,-332.74571476402099,21.022056240904476,false,true,true
TAF5L,TAF5L_2_CRISPRi,B,Resting-Teff,249,-307.579476817086,-332.74571476402099,25.166237946934984,false,true,true
USP22,USP22_1_CRISPRi,B,Resting-Teff,234,-300.82192374631745,-332.74571476402099,31.923791017703536,false,true,true
USP22,USP22_2_CRISPRi,B,Resting-Teff,218,-271.95597329227053,-332.74571476402099,60.78974147175046,false,true,true
ZNF217,ZNF217_1_CRISPRi,B,Resting-Teff,203,-285.84883752511797,-332.74571476402099,46.896877238903016,false,false,false
ZNF217,ZNF217_2_CRISPRi,B,Resting-Teff,185,-299.184397056161,-332.74571476402099,33.561317707859985,false,false,false
ATXN7L3,ATXN7L3_1_CRISPRi,A,Stimulated-Teff,226,615.17764101249577,612.7313540812479,2.4462869312478688,false,true,true
ATXN7L3,ATXN7L3_2_CRISPRi,A,Stimulated-Teff,291,592.81920229642026,612.7313540812479,-19.912151784827643,false,true,true
BACH2,BACH2_1_CRISPRi,A,Stimulated-Teff,290,628.28860701790143,612.7313540812479,15.557252936653526,false,true,false
BACH2,BACH2_2_CRISPRi,A,Stimulated-Teff,188,636.93748905935308,612.7313540812479,24.206134978105183,false,true,false
BATF,BATF_1_CRISPRi,A,Stimulated-Teff,273,582.2823073494568,612.7313540812479,-30.4490467317911,false,true,true
BATF,BATF_2_CRISPRi,A,Stimulated-Teff,248,551.42471917297007,612.7313540812479,-61.306634908277829,false,true,true
BPTF,BPTF_1_CRISPRi,A,Stimulated-Teff,199,595.76360745734428,612.7313540812479,-16.967746623903622,false,true,true
BPTF,BPTF_2_CRISPRi,A,Stimulated-Teff,282,569.3836103859345,612.7313540812479,-43.347743695313397,false,true,true
CBFB,CBFB_1_CRISPRi,A,Stimulated-Teff,359,660.48302552185726,612.7313540812479,47.751671440609357,false,true,true
CBFB,CBFB_2_CRISPRi,A,Stimulated-Teff,320,667.69884069144177,612.7313540812479,54.967486610193873,false,true,true
DNMT1,DNMT1_1_CRISPRi,A,Stimulated-Teff,215,615.32602648563079,612.7313540812479,2.5946724043828908,false,false,false
DNMT1,DNMT1_2_CRISPRi,A,Stimulated-Teff,188,574.51477769496159,612.7313540812479,-38.216576386286306,false,false,false
ETS1,ETS1_1_CRISPRi,A,Stimulated-Teff,197,650.00000674117928,612.7313540812479,37.268652659931377,false,true,false
ETS1,ETS1_2_CRISPRi,A,Stimulated-Teff,122,615.13407185347023,612.7313540812479,2.4027177722223314,false,true,false
FOXO1,FOXO1_1_CRISPRi,A,Stimulated-Teff,166,638.09883526350609,612.7313540812479,25.367481182258189,false,true,true
FOXO1,FOXO1_2_CRISPRi,A,Stimulated-Teff,202,598.95840459849978,612.7313540812479,-13.772949482748118,false,true,true
IL2RA,IL2RA_1_CRISPRi,A,Stimulated-Teff,181,524.21300837465867,612.7313540812479,-88.51834570658923,false,true,true
IL2RA,IL2RA_2_CRISPRi,A,Stimulated-Teff,236,589.11904686684102,612.7313540812479,-23.612307214406883,false,true,true
IRF1,IRF1_1_CRISPRi,A,Stimulated-Teff,225,630.47950294492694,612.7313540812479,17.748148863679035,false,true,true
IRF1,IRF1_2_CRISPRi,A,Stimulated-Teff,181,621.41444611255451,612.7313540812479,8.6830920313066144,false,true,true
IRF2,IRF2_1_CRISPRi,A,Stimulated-Teff,243,619.5777562936255,612.7313540812479,6.8464022123775976,false,true,true
IRF2,IRF2_2_CRISPRi,A,Stimulated-Teff,242,598.82770219731856,612.7313540812479,-13.903651883929342,false,true,true
IRF4,IRF4_1_CRISPRi,A,Stimulated-Teff,180,575.09973429072238,612.7313540812479,-37.631619790525519,false,true,false
IRF4,IRF4_2_CRISPRi,A,Stimulated-Teff,155,557.24533519469571,612.7313540812479,-55.486018886552188,false,true,false
KLF13,KLF13_1_CRISPRi,A,Stimulated-Teff,272,625.25487915352164,612.7313540812479,12.523525072273742,false,true,false
KLF13,KLF13_2_CRISPRi,A,Stimulated-Teff,328,623.90734805919192,612.7313540812479,11.175993977944017,false,true,false
KLF2,KLF2_1_CRISPRi,A,Stimulated-Teff,202,612.89598998020119,612.7313540812479,0.16463589895329278,false,true,true
KLF2,KLF2_2_CRISPRi,A,Stimulated-Teff,208,648.48582432170883,612.7313540812479,35.754470240460932,false,true,true
LEF1,LEF1_1_CRISPRi,A,Stimulated-Teff,304,605.2572283111856,612.7313540812479,-7.4741257700623009,false,true,false
LEF1,LEF1_2_CRISPRi,A,Stimulated-Teff,251,617.10840097758501,612.7313540812479,4.3770468963371059,false,true,false
MED11,MED11_1_CRISPRi,A,Stimulated-Teff,104,534.59799341815926,612.7313540812479,-78.133360663088638,false,false,false
MED11,MED11_2_CRISPRi,A,Stimulated-Teff,216,622.23873885138187,612.7313540812479,9.5073847701339673,false,false,false
MED12,MED12_1_CRISPRi,A,Stimulated-Teff,405,533.83630337310944,612.7313540812479,-78.895050708138456,false,true,true
MED12,MED12_2_CRISPRi,A,Stimulated-Teff,366,562.7808465664101,612.7313540812479,-49.950507514837795,false,true,true
MED24,MED24_1_CRISPRi,A,Stimulated-Teff,303,635.57561568611709,612.7313540812479,22.844261604869189,false,true,true
MED24,MED24_2_CRISPRi,A,Stimulated-Teff,371,640.83177955596534,612.7313540812479,28.10042547471744,false,true,true
